#,Word,Pinyin,Part of speech,Simple Native‑Speaker Definition (in 简单话),isAtomic,modifyee,qualifiers,comment (native thinking & specificity note),speaking commonality index,writing commonality index,isIgnored
1073,睡眠,shuìmián,noun (sleep),睡,FALSE,睡,—,Native thinks: “sleep.” Use 睡. Not atomic.,75,80,
195,睡觉,shuìjiào,verb (to sleep),同“睡”,FALSE,睡,—,Native thinks: “same as 睡.” Redundant; use 睡. Not atomic.,90,85,
1045,瞧,qiáo,verb,看,FALSE,看,—,"Native thinks: “to look, see.” Use 看.",70,50,
1238,瞬间,shùnjiān,noun,很短很短的时间,FALSE,时间,很短很短,Native thinks: “instant (a very short moment).”,60,65,
754,矛盾,máodùn,noun/verb/adjective (contradiction; conflict),两个想法不能都对,FALSE,想法,不能都对,Native thinks: “two ideas that cannot both be true.” Not atomic; defined as 对立冲突.,70,85,
1500,知名,zhīmíng,adjective (well-known),有名的,FALSE,有名,—,Native thinks: “famous.” Use 有名. Not atomic.,75,85,
944,知识,zhīshi,noun (knowledge),(atomic – what you know),TRUE,—,—,Native thinks: “facts and information learned.” Basic noun; atomic.,85,90,
288,知道,zhīdào,verb (to know),(atomic – have knowledge),TRUE,—,—,Native thinks: “to be aware of a fact.” Basic verb; atomic.,95,90,
105,短,duǎn,adjective (short),长度不大,TRUE,-,-,Native thinks: “length is not big.” Defined via 长度 + 不大 (like 矮 but for length). Not atomic.,75,70,
172,短信,duǎnxìn,noun (text message),手机上写的小信,FALSE,信,手机，小,Native thinks: “a short written message on a phone.” Not atomic; defined via 信 + 手机 + 短.,80,75,
301,短处,duǎnchù,noun (shortcoming),不好的地方,FALSE,地方,不好,Native thinks: “the bad side of someone or something.” Not atomic; defined as 不好的地方.,65,70,
302,短期,duǎnqī,noun/adjective (short term),短的时间,FALSE,时间,短,Native thinks: “a short period of time.” Not atomic; defined as 短的时间.,70,80,
328,短缺,duǎnquē,verb,不够，少了,FALSE,不够,少了,"Native thinks: “not enough, lacking.”",55,70,
106,短裤,duǎnkù,noun (shorts),腿短的裤子,FALSE,裤子,腿短,Native thinks: “pants with short legs.” Not atomic; defined via 裤子 + 腿短.,65,60,
2,矮,ǎi,adjective (short),一个人或东西的高度不大,FALSE,高度,不大,Native thinks: “not big in height.” Basic quality; not too specific.,60,50,
1018,石头,shítou,noun (stone),硬的石头,FALSE,石,—,Native thinks: “a piece of hard rock.” Use 石. Not atomic.,75,70,
1191,石油,shíyóu,noun,地下的油,FALSE,油,地下,Native thinks: “petroleum (oil from underground).”,60,70,
242,矿泉水,kuàngquánshuǐ,noun (mineral water),地下出来的干净水,FALSE,水,地下，干净,Native thinks: “clean water that comes from underground.” Not atomic; defined via 水 + 地下 + 干净.,70,65,
884,码头,mǎtóu,noun,船停靠的地方,FALSE,地方,船停靠,"Native thinks: “dock, pier.”",65,60,
766,砍,kǎn,verb,用刀或斧用力往下,FALSE,用,刀斧，用力下,"Native thinks: “to cut, chop with a blade.”",70,60,
1329,研制,yánzhì,verb (to research and develop),同“研发”,FALSE,研发,—,Native thinks: “same as 研发.” Use 研发. Not atomic.,65,85,
1327,研发,yánfā,verb (to research and develop),研究和开发,FALSE,研究,开发,Native thinks: “to research and develop.” Not atomic; defined as 研究开发.,70,85,
846,研究,yánjiū,verb (to research),仔细学,FALSE,学,仔细,Native thinks: “to study carefully.” Not atomic; defined as 仔细学.,75,90,
847,研究生,yánjiūshēng,noun (graduate student),大学后的学生,FALSE,学生,大学后,Native thinks: “a student after university.” Not atomic; defined as 大学后的学生.,70,80,
1511,研讨,yántǎo,verb,一起说想,FALSE,说,一起想,"Native thinks: “to discuss, deliberate.”",50,70,
1758,砖,zhuān,noun,土块,FALSE,土块,—,Native thinks: “brick.”,65,55,
558,破,pò,verb/adjective (broken; to break),坏了，不完整,FALSE,好,不,"Native thinks: “not good, incomplete.” Not atomic; defined as 不完整.",70,70,
1006,破产,pòchǎn,verb,一起做工作的地方没钱了,FALSE,公司,没钱,Native thinks: “to go bankrupt.”,55,70,
848,破坏,pòhuài,verb (to destroy),弄坏,FALSE,弄,坏,Native thinks: “to break or damage.” Not atomic; defined as 弄坏.,70,80,
702,硕士,shuòshì,noun (master’s degree),大学本科之后的学位,FALSE,学位,本科之后,Native thinks: “the degree after a bachelor’s.” Not atomic; defined as 本科之后的学位.,60,80,
1384,硬,yìng,adjective/adverb (hard; forcibly),(atomic – not soft),TRUE,—,—,"Native thinks: “firm, not easily bent.” Basic adjective; atomic.",80,80,
1386,硬件,yìngjiàn,noun (hardware),电脑的硬部分,FALSE,部分,电脑，硬,Native thinks: “the physical parts of a computer.” Not atomic; defined as 电脑的实体部分.,75,85,
906,确保,quèbǎo,verb (to ensure),一定做到,FALSE,做到,一定,Native thinks: “to make sure something happens.” Not atomic; defined as 保证.,70,85,
907,确定,quèdìng,adjective/verb (certain; to determine),肯定；定下来,FALSE,定,肯定,Native thinks: “to be sure; to decide.” Not atomic; defined as 定.,75,85,
607,确实,quèshí,adverb (indeed),(atomic – truly),TRUE,—,—,"Native thinks: “for sure, without doubt.” Basic adverb; atomic.",75,85,
1084,确立,quèlì,verb,定下来,FALSE,定,下来,Native thinks: “to establish.”,50,75,
908,确认,quèrèn,verb (to confirm),确认,FALSE,认,—,Native thinks: “to check and be sure.” Use 确认 as phrase. Not atomic.,70,85,
1093,碎,suì,verb/adjective (to break; broken),变成小块,FALSE,变,小块,Native thinks: “to become small pieces.” Not atomic; defined as 打破.,70,65,
369,碗,wǎn,noun (bowl),圆深的容器，装饭或菜,FALSE,容器,圆深，装饭菜,"Native thinks: “a round, deep container for rice or dishes.” Not atomic; defined via 容器 + 圆深 + 装饭菜.",80,70,
823,碰,pèng,verb (to bump),两样东西撞一起,FALSE,撞,一起,Native thinks: “two things hit each other.” Not atomic; defined as 撞.,75,70,
983,碰撞,pèngzhuàng,verb,碰,FALSE,碰,—,Native thinks: “to collide.” Use 碰.,65,65,
824,碰见,pèngjiàn,verb (to run into),偶然看到,FALSE,看到,偶然,Native thinks: “to see by chance.” Not atomic; defined as 偶然看到.,70,70,
1198,示范,shìfàn,verb,做给人看,FALSE,做,给人看,Native thinks: “to demonstrate (do it for others to see).”,55,65,
248,礼物,lǐwù,noun (gift),送给别人的东西,FALSE,东西,送给别人,Native thinks: “something given to others.” Not atomic; defined via 东西 + 送给别人.,80,75,
462,礼貌,lǐmào,noun/adjective (courtesy; polite),对人好的行为,FALSE,行为,对人好,Native thinks: “behavior that treats people well.” Not atomic; defined via 行为 + 好.,75,75,
1156,社,shè,noun,人们一起的组织,FALSE,组织,人们一起,"Native thinks: “society, an organization of people.”",55,70,
639,社会,shèhuì,noun (society),(atomic – community of people),TRUE,—,—,Native thinks: “the people and groups living together in a place.” Basic noun; atomic.,75,90,
975,社区,shèqū,noun (community),住在一起的人的区域,FALSE,区域,住在一起的人,Native thinks: “an area where people live together.” Not atomic; defined as 人住的区域.,75,85,
1798,祖先,zǔxiān,noun,先人,FALSE,人,先,Native thinks: “ancestors.”,60,65,
1797,祖国,zǔguó,noun,国家,FALSE,国家,—,Native thinks: “motherland.” Use 国家.,70,75,
965,祝,zhù,verb (to wish),(atomic – express good hope),TRUE,—,—,Native thinks: “to express good wishes for others.” Basic verb; atomic.,75,70,
1755,祝愿,zhùyuàn,verb,愿,FALSE,愿,—,"Native thinks: “to wish, express good wishes.” Use 愿.",65,65,
1752,祝福,zhùfú,verb,愿,FALSE,愿,—,Native thinks: “to bless.”,70,65,
966,祝贺,zhùhè,verb (to congratulate),祝,FALSE,祝,—,Native thinks: “to express good wishes.” Use 祝. Not atomic.,70,75,
1165,神,shén,noun / adjective,天上的人 / 太好了,FALSE,人 / 好,天上，太,"Native thinks: “god” or “amazing, wonderful.”",65,65,
1167,神奇,shénqí,adjective,让人想不到的好,FALSE,好,让人想不到,"Native thinks: “magical, surprisingly good.”",60,65,
988,神秘,shénmì,adjective (mysterious),很难知道,FALSE,知道,很难,Native thinks: “hard to know or understand.” Not atomic; defined as 不易理解.,70,80,
1166,神经,shénjīng,noun,身体里传信号的线,FALSE,线,身体里，传信号,Native thinks: “nerve (threads in the body that carry signals).”,60,70,
987,神话,shénhuà,noun (myth),古代传下来的神故事,FALSE,故事,古代，神,Native thinks: “ancient stories about gods.” Not atomic; defined as 古代神的故事.,70,75,
116,票,piào,noun (ticket),进地方或坐车用的纸,FALSE,纸,进地方，坐车,Native thinks: “a paper for entering or riding.” Not atomic; defined via 纸 + 进/坐.,80,80,
394,禁止,jìnzhǐ,verb (to prohibit),不准做,FALSE,不准,做,Native thinks: “to not allow doing.” Not atomic; defined as 不准.,70,80,
367,福,fú,noun (blessing),好运气,FALSE,运气,好,Native thinks: “good luck.” Not atomic; defined as 好运气.,70,75,
403,福利,fúlì,noun / verb,工作单位给的额外好的方面,FALSE,好的方面,工作单位给,Native thinks: “extra benefits given by an employer.”,55,75,
89,离,lí,"verb (to leave, to be away from)",(atomic – move apart from),TRUE,—,—,Native thinks: “to be at a distance from.” Basic verb; atomic.,85,85,
698,离婚,líhūn,verb (to divorce),夫妻分开,FALSE,分开,夫妻,Native thinks: “married couple separates.” Not atomic; defined as 夫妻分开.,70,75,
247,离开,líkāi,verb (to leave),走开，不在这里了,FALSE,走,开，不在这里,"Native thinks: “go away, not here anymore.” Not atomic; defined via 走 + 开.",85,80,
700,离职,lízhí,verb (to resign),离开工作,FALSE,离开,工作,Native thinks: “to leave a job.” Not atomic; defined as 离开工作.,65,75,
1078,私人,sīrén,noun (private),个人的，不是公家的,FALSE,人,个人,"Native thinks: “personal, not public.” Not atomic; defined as 个人的.",70,80,
310,秋天,qiūtiān,noun (autumn),一年中天气变凉的时候,FALSE,时候,一年，天气变凉,Native thinks: “the time of year when the weather gets cool.” Not atomic; defined via 时候 + 一年 + 天气变凉.,80,75,
484,种,zhǒng,classifier (measure word for kinds),(not used in 简单话 – use 个 or 类),TRUE,—,—,Native thinks: “a kind or type.” Classifier ignored; use 个 or say 类. Not atomic.,80,85,
959,种,zhòng,verb (to plant),把种子放在土里,FALSE,放,种子，土里,Native thinks: “to put seeds in the ground.” Not atomic; defined via 放种子.,70,75,
1729,种地,zhòngdì,verb,种,FALSE,种,—,"Native thinks: “to farm, cultivate land.” Use 种.",65,55,
1530,种子,zhǒngzi,noun (seed),植物用来生新植物的小东西,FALSE,东西,植物，生新,Native thinks: “small part of a plant that grows a new plant.” Not atomic; defined as 植物的小粒.,70,70,
1534,种植,zhòngzhí,verb (to plant),把种子放土里等长,FALSE,放,种子，土里,Native thinks: “to put seeds in soil to grow.” Not atomic; defined as 种.,70,80,
1529,种类,zhǒnglèi,noun (type),类,FALSE,类,—,Native thinks: “kind.” Use 类. Not atomic.,75,85,
779,科,kē,noun,学问的一类,FALSE,类,学问,"Native thinks: “field, branch of study.”",55,70,
426,科学,kēxué,noun/adjective (science; scientific),(atomic – systematic knowledge),TRUE,—,—,Native thinks: “systematic study of the natural world.” Basic noun; atomic.,75,90,
780,科幻,kēhuàn,noun,科学幻想,FALSE,幻想,科学,Native thinks: “science fiction.”,50,65,
425,科技,kējì,noun (science and technology),科学和技术,FALSE,科学,技术,Native thinks: “science and technology.” Not atomic; defined as 科学和技术.,75,85,
782,科普,kēpǔ,verb,把科学说给大众听,FALSE,说,科学，大众,Native thinks: “to popularize science.”,45,65,
781,科目,kēmù,noun,一个学问类,FALSE,类,学问,"Native thinks: “subject, course.”",55,70,
663,科研,kēyán,verb (scientific research),科学研究,FALSE,研究,科学,Native thinks: “scientific research.” Not atomic; defined as 科学研究.,70,90,
511,秒,miǎo,classifier (second),(not used – use 个 or 时间),FALSE,—,—,Native thinks: “a unit of time.” Classifier ignored; use 时间.,60,65,
766,秘书,mìshū,noun (secretary),帮领导做事的人,FALSE,人,帮领导做事,Native thinks: “a person who helps a leader with tasks.” Not atomic; defined as 帮领导的人.,70,80,
764,秘密,mìmì,adjective/noun (secret),只有少数人知道的事,FALSE,事,少数人知,Native thinks: “information known only to a few.” Not atomic; defined as 只有少数人知道的事.,70,80,
986,租,zū,verb (to rent),付钱用别人的东西,FALSE,用,钱，别人东西,Native thinks: “to use someone else’s thing for money.” Not atomic; defined via 用 + 钱.,70,75,
1587,租金,zūjīn,noun (rent),租房子或东西的钱,FALSE,钱,租房,Native thinks: “money for renting a house or something.” Not atomic; defined as 租的钱.,70,75,
1717,秩序,zhìxù,noun,不乱,FALSE,不乱,—,"Native thinks: “order, discipline.”",60,75,
323,积极,jījí,adjective (positive),主动，努力，向好,FALSE,主动,—,"Native thinks: “proactive, hardworking, towards good.” Not atomic; defined as 主动又好.",75,80,
324,积累,jīlěi,verb (to accumulate),一点点存起来变多,FALSE,存,一点点，变多,Native thinks: “to save bit by bit until more.” Not atomic; defined via 存 + 变多.,70,80,
132,称1,chēng,"verb (to call, to address)",叫,FALSE,叫,—,Native thinks: “to address as.” Use 叫. Not atomic.,70,80,
133,称2,chēng,verb (to weigh),量重量,FALSE,量,重量,Native thinks: “to measure weight.” Not atomic; defined as 量重量.,65,75,
134,称为,chēngwéi,verb (to be called),叫作,FALSE,叫,作,Native thinks: “to be called.” Use 叫作. Not atomic.,65,80,
155,称作,chēngzuò,verb,叫作,FALSE,叫,作,Native thinks: “to be called.” Use 叫.,55,70,
153,称号,chēnghào,noun,别人给的好听的名字,FALSE,名字,别人给，好听,Native thinks: “a nice name given by others.”,50,70,
154,称呼,chēnghu,verb / noun,叫人的名字或方式,FALSE,叫,名字，方式,Native thinks: “the name or way to address someone.”,70,70,
135,称赞,chēngzàn,verb (to praise),说好话,FALSE,说,好话,Native thinks: “to speak well of.” Not atomic; defined as 说好话.,70,75,
1351,移,yí,verb (to move),(atomic – to shift position),TRUE,—,—,Native thinks: “to change the location of something.” Basic verb; atomic.,75,85,
1355,移动,yídòng,verb (to move),移,FALSE,移,—,Native thinks: “to move.” Use 移. Not atomic.,80,85,
1551,移民,yímín,verb / noun,搬到新国家 / 搬的人,FALSE,搬,国家,Native thinks: “to immigrate” or “immigrant.”,55,70,
150,程序,chéngxù,"noun (procedure, program)",按顺序做事的步骤,FALSE,步骤,按顺序,Native thinks: “the steps to do something in order.” Not atomic; defined as 做事的顺序.,70,90,
138,程度,chéngdù,"noun (degree, level)",到了多少,TRUE,多少,到,Native thinks: “the extent or level reached.” Not atomic; defined as 达到的多少.,75,85,
633,稍,shāo,adverb (a little),一点点,FALSE,点,一,Native thinks: “a small amount.” Use 一点点. Not atomic.,65,70,
634,稍微,shāowēi,adverb (a little),同“稍”,FALSE,稍,—,Native thinks: “a little bit.” Use 稍. Not atomic.,70,75,
1072,税,shuì,noun (tax),交给政府的钱,FALSE,钱,给政府,Native thinks: “money paid to the government.” Not atomic; defined as 政府的钱.,70,85,
1201,稳定,wěndìng,adjective/verb (stable; to stabilize),不动的样子；让不变,FALSE,不动,让不变,Native thinks: “not moving; also to make something not change.” Not atomic; defined as 不动.,75,85,
439,稿件,gǎojiàn,noun,写好的文章,FALSE,文章,写好的,Native thinks: “a written article.”,40,75,
440,稿子,gǎozi,noun,稿件,FALSE,稿件,—,Native thinks: “same as 稿件.”,45,70,
407,究竟,jiūjìng,adverb/noun (exactly; outcome),到底,FALSE,到底,—,"Native thinks: “finally, after all.” Use 到底. Not atomic.",65,75,
894,穷,qióng,adjective (poor),钱很少,FALSE,钱,很少,Native thinks: “having very little money.” Not atomic; defined as 没钱.,75,75,
436,空,kōng,adjective/adverb (empty; in vain),没有东西,FALSE,有,没有,Native thinks: “having nothing inside.” Not atomic; defined as 没东西.,75,80,
439,空,kòng,verb/adjective/noun (to free up; free time),有时间；空的,FALSE,有,时间/空,Native thinks: “to have free time; empty.” Not atomic; defined via 有时间.,65,70,
672,空中,kōngzhōng,noun/adjective (in the air),天上面,FALSE,上面,天,Native thinks: “up in the sky.” Not atomic; defined as 天上.,70,75,
791,空地,kòngdì,noun,没用的地,FALSE,地,没用,"Native thinks: “open space, vacant land.”",65,60,
437,空气,kōngqì,noun (air),人呼吸的气,FALSE,气,人呼吸,Native thinks: “the gas people breathe.” Not atomic; defined via 气 + 呼吸.,80,85,
239,空调,kōngtiáo,noun (air conditioner),让房间变冷或变热的机器,FALSE,机器,房间，变冷变热,Native thinks: “a machine that makes a room cooler or warmer.” Not atomic; defined via 机器 + 房间 + 变冷变热.,80,75,
792,空闲,kòngxián,adjective / noun,没事 / 没事的时候,FALSE,没事,时候,Native thinks: “free (time)” or “leisure.”,65,60,
671,空间,kōngjiān,noun (space),地方,FALSE,地方,—,Native thinks: “a place or area.” Use 地方. Not atomic.,75,85,
23,穿,chuān,verb (to wear),把衣服放在身上,TRUE,放,衣服，身上,Native thinks: “put clothing on the body.” Not atomic; defined via 放 + 衣服 + 身上.,90,80,
200,穿过,chuānguò,verb,从中间过到另一边,FALSE,过,中间，另一边,Native thinks: “to go through the middle to the other side.”,70,75,
1150,突出,tūchū,verb/adjective (to protrude; outstanding),伸出来；很出色,FALSE,伸/出色,出来,Native thinks: “to stick out; also very good.” Not atomic; two senses.,70,80,
1326,突发,tūfā,verb,突然发生,FALSE,发生,突然,"Native thinks: “sudden, unexpected.”",55,70,
362,突然,tūrán,adjective (sudden),一下子发生，没想到,FALSE,发生,一下子，没想到,"Native thinks: “happens all of a sudden, unexpected.” Not atomic; defined via 发生 + 一下子 + 没想到.",80,80,
1327,突破,tūpò,verb,打破过去,FALSE,打破,过去,Native thinks: “to break through.”,55,70,
1462,窄,zhǎi,adjective (narrow),不宽,FALSE,宽,不,Native thinks: “not wide.” Not atomic; defined as 不宽.,70,65,
95,窗,chuāng,noun (window),(atomic – opening in wall),TRUE,—,—,Native thinks: “an opening in a wall for light and air.” Basic noun; atomic.,80,75,
210,窗口,chuāngkǒu,noun,墙上开的口透光透气,FALSE,口,墙，透光透气,Native thinks: “an opening in the wall for light and air.”,75,70,
188,窗台,chuāngtái,noun (windowsill),窗下面的小平台,FALSE,平台,窗下面,Native thinks: “a small ledge below a window.” Not atomic; defined as 窗下的台.,65,65,
96,窗户,chuānghu,noun (window),窗,FALSE,窗,—,Native thinks: “same as 窗.” Use 窗. Not atomic.,85,80,
835,立,lì,verb,站 / 建,FALSE,站 / 建,—,Native thinks: “to stand” or “to set up.”,70,70,
706,立刻,lìkè,adverb (immediately),马上,FALSE,马上,—,Native thinks: “right away.” Use 马上. Not atomic.,70,80,
705,立即,lìjí,adverb (immediately),马上,FALSE,马上,—,Native thinks: “right away.” Use 马上. Not atomic.,70,80,
837,立场,lìchǎng,noun,站在哪一边,FALSE,站,哪一边,"Native thinks: “standpoint, position.”",55,75,
1226,竖,shù,adjective / verb / noun,从上到下 / 立起 / 竖线,FALSE,方向 / 立 / 线,从上到下,Native thinks: “vertical” / “to erect” / “vertical line.”,65,60,
466,站,zhàn,verb (to stand; station),(verb: 脚立在地上； noun: 停车的地方),FALSE,立,脚在地上,Native thinks: “stand on feet; a stop for vehicles.” Verb sense defined as 立. Noun sense (station) is different. Keep non‑atomic.,90,80,
186,站,zhàn,"noun/verb (station, stop; to stand)",(verb: 脚立在地上；noun: 车停的地方),FALSE,立/地方,脚/车停,Native thinks: “to stand; a stop for vehicles.” Not atomic; two senses.,85,80,
1469,站台,zhàntái,noun (platform),火车站的台,FALSE,台,火车站,Native thinks: “the platform at a train station.” Not atomic; defined as 火车站的台.,70,70,
405,竞争,jìngzhēng,verb (compete),争胜,FALSE,争,胜,Native thinks: “to fight for victory.” Not atomic; defined as 争胜.,70,80,
728,竞赛,jìngsài,verb,比谁好,FALSE,比,好,Native thinks: “to compete.”,55,70,
404,竟然,jìngrán,adverb (unexpectedly),没想到会这样,FALSE,想,没想到，这样,Native thinks: “didn’t think it would be this way.” Not atomic; defined via 没想到.,65,70,
1665,章,zhāng,measure word,一篇,FALSE,篇,—,Native thinks: “measure word for chapters.” Use 篇.,60,70,
746,童年,tóngnián,noun (childhood),小的时候,FALSE,时候,小,Native thinks: “the time when one is young.” Not atomic; defined as 小的时候.,70,70,
1312,童话,tónghuà,noun,给小孩听的假故事,FALSE,故事,给小孩，假,Native thinks: “fairy tale.”,60,55,
327,端,duān,verb,用两手拿着东西,FALSE,拿,两手,Native thinks: “to hold something with both hands.”,70,65,
1539,竹子,zhúzi,noun (bamboo),高直的一种植物,FALSE,植物,高，直,Native thinks: “a tall straight plant.” Not atomic; defined as 一种植物.,70,65,
163,笑,xiào,"verb (to laugh, to smile)",(atomic – show happiness on face),TRUE,—,—,Native thinks: “to express pleasure with facial expression.” Basic verb; atomic.,85,80,
1453,笑容,xiàoróng,noun,笑的样子,FALSE,样子,笑,Native thinks: “smile (facial expression).”,70,60,
817,笑话,xiàohua,noun/verb (joke),好笑的话,FALSE,话,好笑,Native thinks: “funny words.” Not atomic; defined as 好笑的话.,75,65,
10,笔,bǐ,noun/classifier (pen; measure for writing tools),(noun: 写字的工具；classifier not used),FALSE,工具,写字,Native thinks: “a tool for writing.” Classifier ignored. Not atomic.,85,80,
20,笔记,bǐjì,noun (notes),写下来记的东西,FALSE,东西,写，记,Native thinks: “things written down to remember.” Not atomic; described via 写 and 记.,60,70,
22,笔记本,bǐjìběn,noun (notebook),本用来写笔记,FALSE,本,写笔记,Native thinks: “a book (bound thing) for writing notes.” Compound of 笔记 + 本.,70,75,
28,笔试,bǐshì,verb (written test),用笔写字的考试,FALSE,考试,用笔写字,Native thinks: “an exam done by writing on paper.” Not atomic; defined via 考试 + 写字.,70,80,
402,符号,fúhào,noun,代表别的东西的标记,FALSE,标记,代表别的东西,Native thinks: “a mark that stands for something else.”,60,75,
208,符合,fúhé,verb (to conform to),与规则或要求一样,FALSE,一样,规则，要求,Native thinks: “to be the same as a rule or requirement.” Not atomic; defined via 一样 + 规则.,70,80,
26,笨,bèn,"adjective (stupid, foolish)",脑子不好用,FALSE,脑子,不好用,Native thinks: “brain not working well.” Not atomic; defined via 脑子 + 不好.,75,70,
31,第,dì,prefix (ordinal),"",TRUE,—,—,"Native thinks: “add before numbers to show order.” ",80,85,
34,等,děng,verb/preposition (to wait; and so on),(atomic – to wait; also listing),TRUE,—,—,Native thinks: “to stay until something happens; also used to list examples.” Basic verb; atomic.,85,80,
147,等,děng,"auxiliary (and so on); noun/classifier (class, grade)",(atomic – list continuation),TRUE,—,—,Native thinks: “used after listed items to show more; also grade.” Basic word; atomic.,80,80,
265,等于,děngyú,verb (to be equal to),和…一样,FALSE,一样,和,Native thinks: “to be the same as.” Use 一样. Not atomic.,75,85,
264,等候,děnghòu,verb (to wait),等,FALSE,等,—,Native thinks: “to wait.” Use 等. Not atomic.,65,75,
148,等到,děngdào,"preposition (until, by the time)",一直等到某个时间,FALSE,等,到，时间,Native thinks: “to wait up to a certain time.” Not atomic; defined via 等到.,70,70,
263,等待,děngdài,verb (to wait),等,FALSE,等,—,Native thinks: “to wait.” Use 等. Not atomic.,70,80,
286,等级,děngjí,noun,按高低排的级别,FALSE,级别,高低排,Native thinks: “rank ordered from high to low.”,60,75,
112,答,dá,"verb (to answer, to reply)",对问题说或写,FALSE,说,问题,Native thinks: “to say or write in response to a question.” Not atomic; use 回答.,75,80,
235,答复,dáfù,verb,回答别人的问题或要求,FALSE,回答,别人问题,Native thinks: “to reply to someone’s question or request.”,60,75,
111,答应,dāying,"verb (to agree, promise, reply)",说好同意,FALSE,说,好，同意,Native thinks: “say okay to agree.” Not atomic; defined via 说 + 同意.,80,75,
113,答案,dá’àn,"noun (answer, solution)",问题的解,FALSE,解,问题,Native thinks: “the solution to a problem.” Not atomic; defined via 问题 + 解.,80,85,
112,策划,cèhuà,verb,想好怎么做再去做的计划,FALSE,计划,想好，再去做,Native thinks: “a plan that you think through before doing.”,45,80,
114,策略,cèlüè,noun,做事的聪明办法,FALSE,办法,聪明，做事,Native thinks: “a clever method for doing something.”,45,80,
1136,筛选,shāixuǎn,verb,选出好的,FALSE,选,好的,Native thinks: “to select the good ones (filter).”,50,70,
241,筷子,kuàizi,noun (chopsticks),吃饭用的两根小棒,FALSE,棒,吃饭用，两根,Native thinks: “two small sticks used for eating.” Not atomic; defined via 棒 + 吃饭用 + 两根.,80,70,
183,筹备,chóubèi,verb,事前准备,FALSE,准备,事前,Native thinks: “to prepare in advance.”,50,75,
859,签,qiān,verb (to sign),写名字表示同意,FALSE,写,名字，同意,Native thinks: “to write one’s name to show agreement.” Not atomic; defined as 签名.,70,80,
861,签名,qiānmíng,verb/noun (to sign; signature),写名字,FALSE,写,名字,Native thinks: “to write one’s name.” Not atomic; defined as 写名字.,75,75,
862,签字,qiānzì,verb/noun (to sign; signature),同“签名”,FALSE,签名,—,Native thinks: “same as 签名.” Use 签名. Not atomic.,70,80,
860,签订,qiāndìng,verb (to sign a contract),签合同,FALSE,签,合同,Native thinks: “to sign a contract.” Not atomic; defined as 签合同.,65,85,
576,签证,qiānzhèng,verb/noun (visa; to issue visa),出国需要的许可,FALSE,许可,出国,Native thinks: “permission needed to go abroad.” Not atomic; defined as 出国的许可.,70,75,
653,简介,jiǎnjiè,verb / noun,简单介绍 / 简单的介绍,FALSE,介绍,简单,Native thinks: “to briefly introduce” or “brief introduction.”,55,75,
652,简化,jiǎnhuà,verb,让变简单,FALSE,让,变简单,Native thinks: “to simplify.”,55,70,
199,简单,jiǎndān,adjective (simple),(atomic – not complex; easy to understand),TRUE,—,—,"Native thinks: “not complicated; easy to understand.” This is the name of our language, but keep as atomic for now.",90,85,
570,简历,jiǎnlì,noun (resume),写学习和工作的纸,FALSE,纸,写学习工作,Native thinks: “a document listing one’s education and work experience.” Not atomic; defined as 写经历的表.,70,85,
571,简直,jiǎnzhí,"adverb (simply, absolutely)",(atomic – used for emphasis),TRUE,—,—,Native thinks: “used to make a strong statement.” Basic adverb; atomic.,70,80,
708,算,suàn,verb/adverb (to calculate; at last),用数字加减乘除；算是,TRUE,数/是,加/减,Native thinks: “to do math; also ‘considered as’.” Not atomic; two senses.,80,80,
1247,算了,suànle,verb / auxiliary,不做了，就这样吧,FALSE,不做,就这样,Native thinks: “forget it; let it be.”,75,50,
1248,算是,suànshì,verb / adverb,可以算作 / 比较,FALSE,算,作,Native thinks: “can be considered as” or “quite.”,65,60,
272,管,guǎn,"verb/noun/classifier (control, manage; pipe; measure for tubular objects)",(verb: 管理；noun: 长圆筒),FALSE,管理/筒,—,Native thinks: “to manage; a tube.” Classifier ignored. Not atomic; two senses.,80,80,
273,管理,guǎnlǐ,verb (manage),管人管事,FALSE,管,人/事,Native thinks: “to be in charge of people or things.” Not atomic; defined via 管.,75,85,
496,管道,guǎndào,noun,让气或水流过的长管,FALSE,管,长，气水,Native thinks: “a long tube for gas or water to flow through.”,60,70,
658,箭,jiàn,noun,弓射出去的东西,FALSE,东西,弓射,Native thinks: “something shot from a bow.”,55,60,
393,箱子,xiāngzi,"noun (box, case)",装东西的方形容器,FALSE,容器,方形，装东西,Native thinks: “a square container for holding things.” Not atomic; defined via 容器 + 方形 + 装东西.,75,70,
554,篇,piān,noun/classifier (piece; measure for articles),(classifier not used – use 个),FALSE,—,—,Native thinks: “measure word for essays or articles.” Classifier ignored; use 个.,60,70,
87,篮球,lánqiú,noun (basketball),投筐的球,FALSE,球,投筐,Native thinks: “a ball game where you throw into a hoop.” Not atomic; defined via 球 + 投筐.,80,70,
269,米,mǐ,classifier (meter),(not used in 简单话 – use 个 or describe length),FALSE,—,—,Native thinks: “a unit of length.” Measure word not used. Ignore; say “一个长度” or use 个.,40,35,
125,米饭,mǐfàn,noun (cooked rice),熟谷,FALSE,熟谷,—,Native thinks: “cooked rice.” Use 熟谷. Not atomic.,85,75,
693,类,lèi,"noun/classifier (category, kind)",(atomic – group of similar things),TRUE,—,—,Native thinks: “a group of things with shared features.” Basic noun; atomic. Classifier ignored.,75,85,
